Date : 2026-01-03 02:25:36
Directory : d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src
Total : 217 files,  20756 codes, 2591 comments, 4815 blanks, all 28162 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Luau     |        217 |     20,756 |      2,591 |      4,815 |     28,162 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        217 |     20,756 |      2,591 |      4,815 |     28,162 |
| client                                                                                                                            |         16 |      1,447 |        201 |        321 |      1,969 |
| clientchar                                                                                                                        |         16 |        841 |        120 |        175 |      1,136 |
| server                                                                                                                            |        143 |     17,651 |      2,164 |      4,111 |     23,926 |
| server\Animations                                                                                                                 |          1 |         89 |         17 |         20 |        126 |
| server\BasicCombat                                                                                                                |        102 |     12,422 |      1,367 |      2,841 |     16,630 |
| server\BasicCombat (Files)                                                                                                        |         16 |      3,220 |        405 |        701 |      4,326 |
| server\BasicCombat\Managers                                                                                                       |          9 |        684 |        101 |        167 |        952 |
| server\BasicCombat\Movement                                                                                                       |          5 |        818 |         78 |        169 |      1,065 |
| server\BasicCombat\RaceScripts                                                                                                    |          1 |         86 |          7 |         19 |        112 |
| server\BasicCombat\SpecailtyScripts                                                                                               |         15 |      1,383 |        139 |        314 |      1,836 |
| server\BasicCombat\SpecailtyScripts\Hamon                                                                                         |          7 |        747 |         61 |        161 |        969 |
| server\BasicCombat\SpecailtyScripts\Handlers                                                                                      |          2 |        183 |         45 |         48 |        276 |
| server\BasicCombat\SpecailtyScripts\Vampirism                                                                                     |          6 |        453 |         33 |        105 |        591 |
| server\BasicCombat\StandModules                                                                                                   |         56 |      6,231 |        637 |      1,471 |      8,339 |
| server\BasicCombat\StandModules (Files)                                                                                           |          1 |        101 |         29 |         28 |        158 |
| server\BasicCombat\StandModules\CrazedDiamond                                                                                     |          2 |        383 |         32 |         78 |        493 |
| server\BasicCombat\StandModules\GoldExperiment                                                                                    |          5 |        649 |         69 |        159 |        877 |
| server\BasicCombat\StandModules\Handlers                                                                                          |          2 |        178 |         45 |         47 |        270 |
| server\BasicCombat\StandModules\HierophantGrand                                                                                   |          6 |        601 |         48 |        136 |        785 |
| server\BasicCombat\StandModules\KaiserQueen                                                                                       |          2 |        383 |         32 |         78 |        493 |
| server\BasicCombat\StandModules\KingCarmine                                                                                       |          6 |        449 |         37 |        114 |        600 |
| server\BasicCombat\StandModules\MagiciansRed                                                                                      |          6 |        724 |         62 |        178 |        964 |
| server\BasicCombat\StandModules\Metallica                                                                                         |          2 |        262 |         40 |         57 |        359 |
| server\BasicCombat\StandModules\NuclearRain                                                                                       |          4 |        416 |         56 |         98 |        570 |
| server\BasicCombat\StandModules\StarPurple                                                                                        |          6 |        735 |         85 |        181 |      1,001 |
| server\BasicCombat\StandModules\ThatHand                                                                                          |          6 |        376 |         30 |        104 |        510 |
| server\BasicCombat\StandModules\TheWorld                                                                                          |          2 |        401 |         32 |         81 |        514 |
| server\BasicCombat\StandModules\Tusk                                                                                              |          6 |        573 |         40 |        132 |        745 |
| server\DataSaving                                                                                                                 |         24 |      4,000 |        644 |        988 |      5,632 |
| server\DataSaving (Files)                                                                                                         |         18 |      3,778 |        564 |        915 |      5,257 |
| server\DataSaving\CommunicateWithClient                                                                                           |          3 |         57 |         14 |         24 |         95 |
| server\DataSaving\Upgrades                                                                                                        |          3 |        165 |         66 |         49 |        280 |
| server\Monitization                                                                                                               |          1 |          0 |          1 |          1 |          2 |
| server\Objectives                                                                                                                 |          2 |        447 |         47 |         80 |        574 |
| server\Rewards                                                                                                                    |          8 |        474 |         56 |        131 |        661 |
| server\Rewards (Files)                                                                                                            |          3 |        286 |         41 |         68 |        395 |
| server\Rewards\Items                                                                                                              |          5 |        188 |         15 |         63 |        266 |
| server\Utilities                                                                                                                  |          5 |        219 |         32 |         50 |        301 |
| shared                                                                                                                            |         42 |        817 |        106 |        208 |      1,131 |
| shared\Modules                                                                                                                    |          3 |        226 |         60 |         53 |        339 |
| shared\SpecialtyLocalScripts                                                                                                      |          9 |        169 |         12 |         47 |        228 |
| shared\SpecialtyLocalScripts\Hamon                                                                                                |          5 |        125 |          8 |         31 |        164 |
| shared\SpecialtyLocalScripts\Vampirism                                                                                            |          4 |         44 |          4 |         16 |         64 |
| shared\StandLocalScripts                                                                                                          |         30 |        422 |         34 |        108 |        564 |
| shared\StandLocalScripts\GoldExperiment                                                                                           |          4 |         44 |          4 |         12 |         60 |
| shared\StandLocalScripts\HierophantGrand                                                                                          |          4 |        122 |          7 |         25 |        154 |
| shared\StandLocalScripts\KingCarmine                                                                                              |          4 |         53 |          5 |         14 |         72 |
| shared\StandLocalScripts\MagiciansRed                                                                                             |          4 |         44 |          4 |         12 |         60 |
| shared\StandLocalScripts\NuclearRain                                                                                              |          2 |         25 |          2 |          6 |         33 |
| shared\StandLocalScripts\StarPurple                                                                                               |          4 |         46 |          4 |         15 |         65 |
| shared\StandLocalScripts\ThatHand                                                                                                 |          4 |         44 |          4 |         12 |         60 |
| shared\StandLocalScripts\Tusk                                                                                                     |          4 |         44 |          4 |         12 |         60 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                          | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\AirMovement.client.luau                                                  | Luau     |         37 |          1 |          4 |         42 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\Dialog.client.luau                                                       | Luau     |        102 |          6 |         15 |        123 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\HeroAuras.client.luau                                                    | Luau     |         73 |          8 |         16 |         97 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\InitUIManager.client.luau                                                | Luau     |         19 |          2 |          8 |         29 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\InventoryState.luau                                                      | Luau     |         11 |          1 |          5 |         17 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\MenuCamRotation.client.luau                                              | Luau     |         87 |         33 |         22 |        142 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\MenuController.client.luau                                               | Luau     |        113 |         13 |         22 |        148 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\MenuState.luau                                                           | Luau     |          8 |          2 |          4 |         14 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\MusicAndLocalSounds.client.luau                                          | Luau     |        210 |         20 |         42 |        272 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\ObjectiveVisibility.client.luau                                          | Luau     |         65 |         10 |         13 |         88 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\QuestArrow.client.luau                                                   | Luau     |        134 |         23 |         30 |        187 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\client\RebindShiftlock.client.luau                                              | Luau     |         32 |          5 |          7 |         44 |
